student_id,subject_id,teacher_id,exam_1,exam_2,exam_3,attendance,final_score,date
STU_76c34d69,SUB_BIO_910,TCH_b9608476,81.85,92.65,84.83,8,86.44,2025-11-08
STU_76c34d69,SUB_MAT_392,TCH_61765dbd,67.66,71.76,82.1,9,73.84,2025-04-21
STU_76c34d69,SUB_HIS_105,TCH_b0dd4864,83.91,97.47,84.08,9,88.49,2025-04-22
STU_f0f2f680,SUB_COM_142,TCH_b9608476,92.26,84.91,64.94,8,80.7,2025-11-02
STU_f0f2f680,SUB_PHY_117,TCH_fc41ed5e,83.87,57.54,55.8,8,65.74,2025-04-19
STU_f0f2f680,SUB_ART_886,TCH_2b2625e5,82.42,70.92,61.77,9,71.7,2025-05-05
STU_5b6ce12e,SUB_PHY_117,TCH_b9608476,62.04,93.35,55.81,9,70.4,2025-09-06
STU_5b6ce12e,SUB_HIS_105,TCH_fc41ed5e,95.17,91.92,91.77,10,92.95,2025-05-11
STU_5b6ce12e,SUB_COM_142,TCH_61765dbd,50.7,58.13,82.43,10,63.75,2025-10-10
STU_5b6ce12e,SUB_BIO_910,TCH_b9608476,53.05,72.74,97.26,7,74.35,2025-08-11
STU_0026814f,SUB_COM_142,TCH_82b5b2da,77.76,60.83,64.91,8,67.83,2025-11-12
STU_0026814f,SUB_ENG_307,TCH_61765dbd,60.98,90.22,53.46,8,68.22,2025-08-06
STU_0026814f,SUB_BIO_910,TCH_61765dbd,90.61,78.57,62.16,7,77.11,2025-04-09
STU_0026814f,SUB_CHE_148,TCH_61765dbd,61.88,51.63,72.58,6,62.03,2025-08-26
STU_0026814f,SUB_PHY_117,TCH_59cac908,74.97,99.86,61.44,10,78.76,2025-06-08
STU_ebedc918,SUB_MAT_392,TCH_59cac908,91.9,57.11,59.93,9,69.65,2025-08-06
STU_ebedc918,SUB_PHY_117,TCH_7602e517,56.99,69.44,65.39,7,63.94,2025-08-17
STU_ebedc918,SUB_COM_142,TCH_59cac908,50.11,59.61,88.34,9,66.02,2025-02-18
STU_ebedc918,SUB_BIO_910,TCH_82b5b2da,77.19,58.62,79.52,9,71.78,2025-05-15
STU_bc6714a8,SUB_BIO_910,TCH_61765dbd,78.61,81.54,96.82,9,85.66,2025-06-17
STU_bc6714a8,SUB_ART_886,TCH_be7faa8a,61.34,95.2,75.85,8,77.46,2025-03-25
STU_bc6714a8,SUB_MAT_392,TCH_59cac908,53.46,71.89,79.06,6,68.14,2025-09-06
STU_2ce8c406,SUB_HIS_105,TCH_2b2625e5,80.36,80.7,51.33,7,70.8,2025-04-21
STU_2ce8c406,SUB_ART_886,TCH_82b5b2da,76.55,87.16,71.83,9,78.51,2025-07-07
STU_2ce8c406,SUB_PHY_117,TCH_fc41ed5e,91.58,59.69,70.94,7,74.07,2025-05-17
STU_fcd44d70,SUB_COM_142,TCH_61765dbd,99.42,67.68,52.06,10,73.05,2025-09-18
STU_fcd44d70,SUB_PHY_117,TCH_82b5b2da,57.36,70.63,68.72,9,65.57,2025-06-11
STU_fcd44d70,SUB_BIO_910,TCH_b0dd4864,55.48,93.36,95.71,9,81.52,2025-10-26
STU_b7a54374,SUB_CHE_148,TCH_b9608476,59.01,96.17,84.1,5,79.76,2025-06-15
STU_b7a54374,SUB_MAT_392,TCH_2b2625e5,85.96,64.97,54.27,9,68.4,2025-01-05
STU_b7a54374,SUB_BIO_910,TCH_be7faa8a,52.19,94.0,95.13,7,80.44,2025-02-05
STU_b7a54374,SUB_ART_886,TCH_29eb2101,95.85,80.28,52.05,10,76.06,2025-06-09
STU_f4f37ad4,SUB_PHY_117,TCH_29eb2101,82.66,60.63,55.07,8,66.12,2025-11-05
STU_f4f37ad4,SUB_CHE_148,TCH_b0dd4864,78.98,69.73,70.25,7,72.99,2025-05-23
STU_f4f37ad4,SUB_MAT_392,TCH_61765dbd,87.32,89.89,59.46,8,78.89,2025-10-25
STU_f4f37ad4,SUB_ENG_307,TCH_29eb2101,65.0,56.53,90.23,8,70.59,2025-03-12
STU_70bbe669,SUB_BIO_910,TCH_82b5b2da,73.95,86.24,91.62,6,83.94,2025-03-04
STU_70bbe669,SUB_PHY_117,TCH_29eb2101,65.04,83.04,99.55,7,82.54,2025-04-04
STU_70bbe669,SUB_MAT_392,TCH_b9608476,56.35,51.48,51.05,8,52.96,2025-10-10
STU_70bbe669,SUB_HIS_105,TCH_b0dd4864,88.99,59.56,58.07,7,68.87,2025-01-19
STU_70bbe669,SUB_CHE_148,TCH_b9608476,98.39,69.75,87.27,10,85.14,2025-04-26
STU_119cd39c,SUB_BIO_910,TCH_7602e517,65.4,95.63,86.72,5,82.58,2025-04-10
